,시도시군구,불투수면 비율(%),불투수면 면적(㎢),행정구역면적(㎢),농업면적,시도구분,연평균강수량,해발고도,연평균기온,농가인구비율,cluster
0,종로구,0.4820827320827321,0.04511415525114155,0.011554482941020893,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
1,중구,0.9119769119769119,0.03147640791476408,0.0038404743013312178,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
2,용산구,0.5638528138528138,0.048888888888888885,0.010397381645067443,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
3,성동구,0.7628667628667629,0.05089802130898022,0.007603808516265538,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
4,광진구,0.7469937469937471,0.050410958904109585,0.007730538658203299,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
5,동대문구,0.8986291486291487,0.05071537290715372,0.006204266948778983,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
6,중랑구,0.718975468975469,0.05357686453576864,0.008551529577713126,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
7,성북구,0.6313131313131313,0.06514459665144597,0.0118795733051221,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
8,강북구,0.43903318903318905,0.03902587519025875,0.011361632725028652,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
9,도봉구,0.5022847522847522,0.03890410958904109,0.009747200916865028,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
10,노원구,0.45851370851370854,0.07013698630136986,0.017946090099620914,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
11,은평구,0.5025252525252526,0.0628310502283105,0.014755796526492108,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
12,서대문구,0.6856661856661856,0.04742770167427701,0.00808317905316054,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
13,마포구,0.6713564213564214,0.06764079147640792,0.011482852860795204,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
14,양천구,0.8258778258778259,0.05899543378995434,0.007956448911222781,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
15,강서구,0.5400432900432901,0.10136986301369863,0.021180463722119368,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
16,구로구,0.7632275132275133,0.06386605783866058,0.009411090540421406,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
17,금천구,0.7804232804232805,0.03707762557077626,0.005510006171206912,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
18,영등포구,0.7174122174122175,0.07567732115677321,0.01184651326809486,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
19,동작구,0.7572150072150072,0.0487062404870624,0.007361368244732433,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
20,관악구,0.49458874458874463,0.061065449010654485,0.014634576390725556,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
21,서초구,0.45202020202020204,0.09582952815829529,0.024188927091598342,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
22,강남구,0.6642616642616643,0.12066971080669711,0.020094992506391608,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
23,송파구,0.7270322270322269,0.11196347031963469,0.01698734902583091,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
24,강동구,0.6470658970658971,0.06703196347031964,0.011868553292779686,0.0,서울특별시,0.29463921728495723,0.105457385039737,0.6012861736334404,0.0,0
25,중구,0.995069745069745,0.0,0.0,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
26,서구,0.4776334776334777,0.01996955859969559,0.0061381468747245,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
27,동구,0.7418229918229919,0.023439878234398782,0.003923124393899322,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
28,영도구,0.5681818181818181,0.027884322678843228,0.006408137177113638,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
29,부산진구,0.5567580567580568,0.07098934550989344,0.014744776514149696,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
30,동래구,0.6915584415584417,0.04432267884322679,0.007526668429868642,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
31,남구,0.611952861952862,0.0712937595129376,0.013361764965176761,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
32,북구,0.2739297739297739,0.04298325722983257,0.02024376267301419,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
33,해운대구,0.3321308321308321,0.07689497716894977,0.027169840430221283,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
34,사하구,0.45346320346320346,0.09753424657534246,0.024502997443357138,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
35,금정구,0.2385762385762386,0.06940639269406393,0.03454773869346734,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
36,강서구,0.33694083694083693,0.3171385083713851,0.10075046284051839,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
37,연제구,0.7326839826839826,0.03062404870624049,0.0050306356343119115,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
38,수영구,0.7418229918229919,0.024292237442922374,0.004038834523494667,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
39,사상구,0.4822029822029822,0.07604261796042618,0.01830424050074936,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
40,기장군,0.13443963443963444,0.152572298325723,0.11950101384113551,0.0,부산광역시,0.6184264166326947,0.5072609796339912,0.8220793140407286,0.03607496830620947,5
41,중구,0.9742664742664744,0.019908675799086756,0.002220532486996386,0.0,대구광역시,0.006420709335507535,0.0697507462498583,0.7299035369774919,0.12333995124867028,0
42,동구,0.1727994227994228,0.15878234398782343,0.09848034029798114,2.4520640821452044e-05,대구광역시,0.006420709335507535,0.0697507462498583,0.7299035369774919,0.12333995124867028,2
43,서구,0.9011544011544013,0.0654490106544901,0.007934408886537953,0.0,대구광역시,0.006420709335507535,0.0697507462498583,0.7299035369774919,0.12333995124867028,0
44,남구,0.5533910533910533,0.03592085235920852,0.00815480913338623,0.0,대구광역시,0.006420709335507535,0.0697507462498583,0.7299035369774919,0.12333995124867028,0
45,북구,0.363997113997114,0.16517503805175038,0.05000330600370273,0.0,대구광역시,0.006420709335507535,0.0697507462498583,0.7299035369774919,0.12333995124867028,0
46,수성구,0.3334535834535835,0.12073059360730592,0.04069139557436305,0.0,대구광역시,0.006420709335507535,0.0697507462498583,0.7299035369774919,0.12333995124867028,0
47,달서구,0.6143578643578644,0.18441400304414002,0.03281759675570837,0.0,대구광역시,0.006420709335507535,0.0697507462498583,0.7299035369774919,0.12333995124867028,0
48,달성군,0.13468013468013468,0.30855403348554034,0.23154698933262807,0.05170346746696148,대구광역시,0.006420709335507535,0.0697507462498583,0.7299035369774919,0.12333995124867028,2
49,군위군,0.030904280904280906,0.13168949771689498,0.3365015868817773,0.31723393424936147,대구광역시,0.006420709335507535,0.0697507462498583,0.7299035369774919,0.12333995124867028,2
50,중구,0.35365560365560367,0.2628310502283105,0.08015405977254696,0.0,인천광역시,0.15338361190379124,0.08400821189717494,0.5487674169346194,0.04372360448543988,0
51,동구,1.0,0.0213089802130898,0.002275632548708455,0.0,인천광역시,0.15338361190379124,0.08400821189717494,0.5487674169346194,0.04372360448543988,0
52,연수구,0.4575517075517076,0.13619482496194824,0.03315370713215199,0.0,인천광역시,0.15338361190379124,0.08400821189717494,0.5487674169346194,0.04372360448543988,0
53,남동구,0.5969215969215969,0.16347031963470318,0.030079123688618533,0.0,인천광역시,0.15338361190379124,0.08400821189717494,0.5487674169346194,0.04372360448543988,0
54,부평구,0.6201298701298701,0.0880365296803653,0.016028607952040905,0.0,인천광역시,0.15338361190379124,0.08400821189717494,0.5487674169346194,0.04372360448543988,0
55,계양구,0.39898989898989895,0.08030441400304414,0.023423036233800584,0.0,인천광역시,0.15338361190379124,0.08400821189717494,0.5487674169346194,0.04372360448543988,0
56,서구,0.41774891774891776,0.27622526636225264,0.0714262099973552,0.0,인천광역시,0.15338361190379124,0.08400821189717494,0.5487674169346194,0.04372360448543988,0
57,미추홀구,0.8276815776815778,0.091324200913242,0.012099973551970379,0.0,인천광역시,0.15338361190379124,0.08400821189717494,0.5487674169346194,0.04372360448543988,0
58,강화군,0.09463684463684464,0.2170471841704718,0.22602596314907875,0.0,인천광역시,0.17488789237668168,0.05736992581583687,0.43193997856377264,0.04372360448543988,2
59,옹진군,0.05303030303030304,0.04980213089802131,0.10045292250727322,0.0,인천광역시,0.15338361190379124,0.08400821189717494,0.5487674169346194,0.04372360448543988,2
60,동구,0.1898749398749399,0.035433789954337894,0.025191748214758003,0.0,광주광역시,0.34325315939665724,0.08748441376878219,0.7481243301178991,0.13056388739835734,0
